NCT.ID,Title,Recruitment,Study.Results,Conditions,Interventions,Sponsors,Gender,Age.Groups,Phases,Enrollment,Funded.Bys,Study.Types,Study.Designs,Other.IDs,First.Received,Start.Date,Completion.Date,Last.Updated,Last.Verified,Acronym,Primary.Completion.Date,Outcome.Measures,URL,study.location,Drug,FDA_app,Number_ints,Brand_name_in_trial
NCT00088374,17AAG to Treat Kidney Tumors in Von Hippel-Lindau Disease,Completed,No Results Available,Hippel-Lindau Disease|Kidney Cancer,Drug: 17 allylamino-17-demethoxygeldanamycin|Drug: 18 FDG|Drug: [15-O] H2O|Drug: EPL diluent,National Cancer Institute (NCI),Both,Adult|Senior,Phase II,9,NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,040238|04-C-0238,7/23/2004,01/07/2004,01/01/2009,12/23/2010,01/12/2010,,01/01/2009,Response of renal tumors after 3 courses of study therapy.|Effect of 17-N-allylamino-17-demethoxygeldanamycin (17AAG) on nonrenal tumors.,http://ClinicalTrials.gov/show/NCT00088374,United States,1,0,4,NA
NCT00088556,"Carboplatin, Paclitaxel and TLK286 (Telcyta) as First-Line Therapy in Advanced Non-Small Cell Lung Cancer",Completed,No Results Available,"Carcinoma, Non-Small-Cell Lung",Drug: TLK286|Drug: carboplatin|Drug: paclitaxel,Telik,Both,Adult|Senior,Phase I|Phase II,100,Industry,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Masking: Open Label|Primary Purpose: Treatment,TLK286.2023,7/29/2004,01/08/2004,01/05/2009,5/27/2009,01/05/2009,,01/05/2009,,http://ClinicalTrials.gov/show/NCT00088556,United States,1,0,3,NA
NCT00088985,"Vaccine Therapy, Trastuzumab, and Vinorelbine in Treating Women With Locally Recurrent or Metastatic Breast Cancer",Completed,No Results Available,Breast Cancer,Biological: therapeutic autologous dendritic cells|Biological: trastuzumab|Drug: vinorelbine ditartrate,UNC Lineberger Comprehensive Cancer Center|National Cancer Institute (NCI),Female,Adult|Senior,Phase II,37,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000377732|UNC-LCCC-0310|UNC-GCRC-2102-ORC,08/04/2004,01/01/2004,NA,4/18/2009,01/04/2009,,01/04/2009,Response rate by RECIST criteria at 6 months following treatment|Immune response by ELISPOT tetramer at 3 months following treatment,http://ClinicalTrials.gov/show/NCT00088985,United States,1,0,3,NA
NCT00089154,Apolizumab in Treating Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,Completed,No Results Available,Leukemia|Lymphoma,Biological: apolizumab,Chronic Lymphocytic Leukemia Research Consortium|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000378072|CLLRC-OSU-0410|NCI-6257|OSU-0410,08/04/2004,01/08/2004,NA,02/06/2010,01/09/2005,,01/09/2009,"Overall response rate (compete and partial response)|Safety and toxicity as assessed by NCI CTCAE v3.0|Time to progression|Disease-free survival|Correlation of pharmacokinetic clearance and 1D10 antigen density with leukemic or lymphoma cells, clinical response, and frequency and severity of observed toxicities|Correlation of presence of reactive oxygen species and specific signaling pathways' promotion of drug-mediated apoptosis in vitro and in vivo in primary leukemic or lymphoma cells with clinical response|Cellular properties that convey resistance in vivo|Spontaneous and apolizumab-induced apoptosis|Bcl-2 and superoxide dismutase|Lysis sensitivity",http://ClinicalTrials.gov/show/NCT00089154,United States,0,NA,1,NA
NCT00090103,Benign Prostatic Hyperplasia Trial With Dutasteride And Tamsulosin Combination Treatment,Completed,Has Results,Benign Prostatic Hyperplasia,Drug: dutasteride|Drug: tamsulosin,GlaxoSmithKline,Male,Adult|Senior,Phase III,4844,Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment",ARI40005,8/24/2004,01/11/2003,01/09/2009,6/17/2010,01/06/2010,,01/09/2009,"Number of Events of Acute Urinary Retention (AUR) or Benign Prostatic Hyperplasia (BPH)-Related Prostatic Surgery at the Indicated Time Periods.|Number of Participants With AUR or BPH-related Surgery|Number of Events of First BPH Clinical Progression at Years 1, 2, 3 and 4|The Number of Participants With Each of the Five Components of BPH Clinical Progression|Number of Events of Symptom Deterioration at the Indicated Time Periods|Number of Participants With an Event of Post-baseline BPH-related Macroscopic Hematuria|Number of Participants With an Event of Post-baseline BPH-related Hematospermia|Adjusted Mean Change From Baseline in International Prostate Symptom Score (IPSS) at Months 12, 24, 36, and 48|Adjusted Mean Change From Baseline in Urinary Flow Rate (Qmax) at Months 12, 24, 36, and 48|Adjusted Mean Percent Change From Baseline in Prostate Volume at Months 12, 24, 36, and 48|Adjusted Mean Change From Baseline in Transition Zone (Portion of the Prostate That Surrounds the Proximal Urethra) Volume at Months 12, 24, 36, and 48|Number of Unscheduled Visits to GP/Urologist Regarding AUR Symptoms Since the Last Study Visit|Number of \Yes\"" Responses to the Question: \""Would the Participant Have Paid a Visit to His GP/Urologist Regarding AUR Symptoms if the Study Visit Had Not Been Planned\""?.|Number of Visits to GP/Urologist Regarding BPH-related Surgery Since the Last Study Visit|Number of \""Yes\"" Responses to the Question: \""Would the Participant Have Paid a Visit to His GP/Urologist Regarding BPH-related Surgery Since the Last Study Visit?\""|Number of Unplanned Visits to GP/Urologist That Would Have Taken Place if a Scheduled Study Visit Had Not Been Planned (Including Visits Resulting From UTI",http://ClinicalTrials.gov/show/NCT00090103,"United States, &nbsp; Argentina, &nbsp; Belgium, &nbsp; Brazil, &nbsp; Bulgaria, &nbsp; Canada, &nbsp; Czech Republic, &nbsp; Denmark, &nbsp; Estonia, &nbsp; Finland, &nbsp; France, &nbsp; Germany, &nbsp; Greece, &nbsp; Hungary, &nbsp; Iceland, &nbsp; Israel, &nbsp; Italy, &nbsp; Korea, Republic of, &nbsp; Lithuania, &nbsp; Mexico, &nbsp; Netherlands, &nbsp; Norway, &nbsp; Philippines, &nbsp; Poland, &nbsp; Portugal, &nbsp; Puerto Rico, &nbsp; Romania, &nbsp; Russian Federation, &nbsp; Slovakia, &nbsp; South Africa, &nbsp; Spain, &nbsp; Taiwan, &nbsp; Thailand, &nbsp; Tunisia, &nbsp; Turkey, &nbsp; United Kingdom",1,1,2,0
NCT00090987,Imatinib Mesylate in Treating Patients With HIV-Related Kaposi's Sarcoma,Completed,No Results Available,Sarcoma,Drug: imatinib mesylate,AIDS Associated Malignancies Clinical Trials Consortium|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,30,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000380955|AMC-042,09/07/2004,01/06/2005,NA,12/05/2009,01/10/2007,,01/12/2009,Clinical response|Inhibition of platelet-derived growth factor-receptor as assessed by immunohistochemistry|Cytokine profiles before and after imatinib therapy|Pharmacokinetic profile of imatinib and antiretrovirals|Mechanisms of primary and secondary resistance to imatinib therapy|Viral transcription profile of Kaposi's sarcoma-associated herpesvirus,http://ClinicalTrials.gov/show/NCT00090987,United States,1,1,1,1
NCT00091897,Rituximab to Treat Stiff Person Syndrome,Completed,No Results Available,Stiff Person Syndrome,Drug: Rituximab,National Institute of Neurological Disorders and Stroke (NINDS),Both,Adult|Senior,Phase II,24,NIH,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Double Blind (Subject, Caregiver, Investigator)|Primary Purpose: Treatment",040287|04-N-0287,9/18/2004,01/09/2004,NA,1/28/2010,01/05/2009,,01/05/2009,"To evaluate the efficacy, safety of the chimeric monoclonal antibody Rituximab to deplete B lymphocytes in patients with Stiff Person Syndrome with high anti-GAD antibodies.|The Heightened Sensitivity Scale will be used as a secondary outcome measure.",http://ClinicalTrials.gov/show/NCT00091897,United States,1,1,1,1
NCT00093431,Sorafenib in Treating Patients With Metastatic Prostate Cancer,Completed,No Results Available,Prostate Cancer,Drug: sorafenib tosylate,National Cancer Institute (NCI),Male,Adult|Senior,Phase II,46,NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000387958|NCI-04-C-0262|NCI-6594,10/06/2004,01/09/2004,NA,12/05/2009,01/01/2009,,01/04/2009,"Progression-free survival at 4 months by clinical, radiographic, and prostate-specific antigen (PSA) criteria|Proteomics|PSA|Pharmacokinetics|Molecular effects",http://ClinicalTrials.gov/show/NCT00093431,United States,1,1,1,0
NCT00093847,Optimizing the Effectiveness of Selective Serotonin Reuptake Inhibitors (SSRIs) in Treatment-Resistant Depression,Completed,No Results Available,Depression,Drug: S-adenosyl methione (SAMe)|Drug: Placebo,National Institute of Mental Health (NIMH),Both,Adult|Senior,Phase III,80,NIH,Interventional,"Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Outcomes Assessor)|Primary Purpose: Treatment",K23 MH069629|DATR AK-TNET1,10/06/2004,01/05/2004,01/02/2009,03/10/2009,01/03/2009,,01/02/2009,Depressive scales|Self-report depression questionnaires,http://ClinicalTrials.gov/show/NCT00093847,United States,1,0,2,NA
NCT00094055,Study of the Anti-angiogenesis Agent AG-013736 in Patients With Metastatic Thyroid Cancer,Completed,No Results Available,Thyroid Neoplasms,Drug: AG013736,Pfizer,Both,Adult|Senior,Phase II,60,Industry,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,A4061014,10/08/2004,01/09/2004,01/01/2009,9/24/2009,01/09/2009,,01/01/2009,"Response rate of AG 013736 in patients with 131 I cancer|As measured by the overall response rate|As measured by the complete response (CR)|And as by partial response (PR) by RECIST|Time to completion is estimated at 12 months|Determine progression-free survival (PFS)|Determine duration of response|Determine overall survival, population pharmacokinetic analyses|Determine the safety profile of AG 013736|Explore relationships between clinical response and plasma soluble proteins",http://ClinicalTrials.gov/show/NCT00094055,United States,1,0,1,NA
NCT00094172,Atorvastatin (Lipitor) Therapy in Patients With Clinically Isolated Syndrome (CIS) at Risk for Multiple Sclerosis,Completed,No Results Available,Multiple Sclerosis,Drug: Atorvastatin|Drug: Placebo,National Institute of Allergy and Infectious Diseases (NIAID)|Immune Tolerance Network,Both,Adult,Phase II,83,NIH|Other,Interventional,"Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",DAIT ITN020AI,10/14/2004,01/05/2005,01/05/2009,8/23/2010,01/01/2008,STAYCIS,01/05/2009,"The proportion of participants who develop at least three new T2 lesions with or without Gd+ enhancement (in any combination), or one clinical exacerbation, at anytime during the 12-month treatment phase compared to baseline|Incidence of adverse events|Proportion of participants who are diagnosed with MS according to the McDonald criteria during treatment phase|Proportion of participants who are diagnosed with MS according to the McDonald criteria through end of follow-up phase",http://ClinicalTrials.gov/show/NCT00094172,"United States, &nbsp; Canada",1,1,2,1
NCT00094653,"MDX-010 Antibody, MDX-1379 Melanoma Vaccine, or MDX-010/MDX-1379 Combination Treatment for Patients With Melanoma",Completed,No Results Available,Melanoma|Metastases,Drug: MDX-010 (anti-CTLA4) monoclonal antibody|Biological: MDX-1379 Melanoma Peptide Vaccine,Bristol-Myers Squibb,Both,Adult|Senior,Phase III,676,Industry,Interventional,"Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator)|Primary Purpose: Treatment",MDX010-20|CA184-002,10/21/2004,01/09/2004,01/10/2009,09/10/2010,01/04/2010,,01/08/2009,Comparison of overall survival of patients administered MDX-010 in combination with gp 100 melanoma peptide vaccine versus those administered gp 100 melanoma peptide vaccine alone|Determination of Best overall response rate (BORR)|Major durable response rate|duration of response|progression free survival|time to progression|health-related Quality of Life|Comparison of overall survial of patients administered MDX-010 in combination with gp100 melanoma vaccine vs MDX-010 monotherapy and patients administered vaccine monotherapy vs MDX-010 monotherpay,http://ClinicalTrials.gov/show/NCT00094653,"United States, &nbsp; Argentina, &nbsp; Belgium, &nbsp; Brazil, &nbsp; Canada, &nbsp; Chile, &nbsp; France, &nbsp; Germany, &nbsp; Hungary, &nbsp; Netherlands, &nbsp; South Africa, &nbsp; Switzerland, &nbsp; United Kingdom",1,0,2,NA
NCT00095147,Abatacept and Infliximab in Combination With Methotrexate in Subjects With Rheumatoid Arthritis,Completed,No Results Available,Rheumatoid Arthritis,Drug: Abatacept + Methotrexate|Drug: Infliximab + Methotrexate|Drug: Placebo + Methotrexate|Drug: Abatacept,Bristol-Myers Squibb,Both,Adult|Senior,Phase III,400,Industry,Interventional,"Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",IM101-043,11/01/2004,01/02/2005,01/07/2009,6/17/2010,01/06/2010,,01/07/2009,To demonstrate that the Abatacept in combination with Methotraexate will demonstrate a greater reduction in disease activity than placebo in combination with methotrexate as measured by the Disease Activity Score (das28)|Assess the safety and long-term tolerability of Abatacept in subjects who will continue in the long-term extention|To demonstrate that infliximab in combination with methotrexate will demonstrate a greater reduction in disease activity than placebo in combination with methotrexate (mtx) as measured by the disease activity score (DASE28)|Assess the immunogenicity of abatacept in combionation with methotrexate,http://ClinicalTrials.gov/show/NCT00095147,"United States, &nbsp; Argentina, &nbsp; Australia, &nbsp; Brazil, &nbsp; Canada, &nbsp; Czech Republic, &nbsp; Denmark, &nbsp; Korea, Republic of, &nbsp; Mexico, &nbsp; Peru, &nbsp; Poland, &nbsp; Puerto Rico, &nbsp; Russian Federation, &nbsp; South Africa, &nbsp; Spain, &nbsp; Sweden, &nbsp; Switzerland",1,1,4,0
NCT00095563,Lapatinib in Treating Patients With Recurrent and/or Metastatic Adenoid Cystic Cancer or Other Salivary Gland Cancers,Completed,No Results Available,Head and Neck Cancer,Drug: lapatinib ditosylate,"Princess Margaret Hospital, Canada|National Cancer Institute (NCI)",Both,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000394174|PMH-PHL-028|NCI-6701,11/05/2004,01/11/2004,NA,12/01/2009,01/01/2006,,01/06/2009,Objective response rate (complete response and partial response)|Objective response duration|Stable disease rate|Stable disease duration|Progression-free survival at 6 months and 1 year|Overall survival at 6 months and 1 year|Median survival|Safety and tolerability,http://ClinicalTrials.gov/show/NCT00095563,"United States, &nbsp; Canada",1,1,1,1
NCT00095979,Ixabepilone in Treating Patients With Recurrent or Persistent Endometrial Cancer,Completed,No Results Available,Endometrial Cancer,Drug: ixabepilone,Gynecologic Oncology Group|National Cancer Institute (NCI),Female,Child|Adult|Senior,Phase II,51,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000391849|GOG-0129P,11/09/2004,01/05/2005,NA,08/08/2009,01/12/2007,,01/07/2009,Frequency and duration of objective response|Frequency and severity of observed adverse effects|Survival time|Duration of progression-free survival,http://ClinicalTrials.gov/show/NCT00095979,United States,1,1,1,1
NCT00096070,"Radiotherapy Combined With Oxaliplatin and Fluorouracil Followed By Gemcitabine in Treating Patients With Locally Advanced, Unresectable Pancreatic Cancer",Completed,No Results Available,Pancreatic Cancer,Drug: fluorouracil|Drug: gemcitabine hydrochloride|Drug: oxaliplatin|Radiation: radiation therapy,North Central Cancer Treatment Group|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,50,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000391191|NCCTG-N0349,11/09/2004,01/12/2004,NA,03/10/2009,01/03/2009,,01/03/2009,Overall survival at 6 and 12 months|Survival time|Confirmed tumor response (complete and partial response)|Time to disease progression|Duration of response|Time to treatment failure,http://ClinicalTrials.gov/show/NCT00096070,United States,1,1,4,0
NCT00096109,17-N-Allylamino-17-Demethoxygeldanamycin (17-AAG) in Treating Women With Refractory Locally Advanced or Metastatic Breast Cancer,Completed,No Results Available,Breast Cancer,Drug: tanespimycin,Barbara Ann Karmanos Cancer Institute|National Cancer Institute (NCI),Female,Adult|Senior,Phase II,37,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000391198|WSU-C-2803|NCI-6552,11/09/2004,01/09/2004,NA,4/13/2010,01/04/2010,,01/11/2009,Response rate|Progression-free survival|Correlation of HER2/neu status with response,http://ClinicalTrials.gov/show/NCT00096109,United States,1,0,1,NA
NCT00096382,"Cyclophosphamide, Fludarabine, and Total-Body Irradiation Followed By Cellular Adoptive Immunotherapy, Autologous Stem Cell Transplantation, and Interleukin-2 in Treating Patients With Metastatic Melanoma",Completed,No Results Available,Melanoma (Skin),Biological: aldesleukin|Biological: filgrastim|Biological: therapeutic tumor infiltrating lymphocytes|Drug: cyclophosphamide|Drug: fludarabine phosphate|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy,National Cancer Institute (NCI),Both,Adult|Senior,Phase II,116,NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000393480|NCI-04-C-0288|NCI-7025|NCI-PRMC-P6273,11/09/2004,01/09/2004,NA,02/06/2009,01/01/2007,,01/01/2009,Complete clinical tumor regression|Safety|Survival,http://ClinicalTrials.gov/show/NCT00096382,United States,1,0,7,NA
NCT00096434,Sorafenib in Treating Patients With Metastatic Breast Cancer,Completed,No Results Available,Breast Cancer,Drug: sorafenib tosylate,North Central Cancer Treatment Group|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000393224|NCCTG-N0336,11/09/2004,01/09/2004,NA,2/21/2009,01/02/2009,,01/02/2009,,http://ClinicalTrials.gov/show/NCT00096434,United States,1,1,1,0
NCT00097786,Long-term Study of Nateglinide+Valsartan to Prevent or Delay Type II Diabetes Mellitus and Cardiovascular Complications,Completed,No Results Available,"Diabetes Mellitus, Type 2",Drug: nateglinide|Drug: valsartan,Novartis Pharmaceuticals,Both,Adult|Senior,Phase III,9518,Industry,Interventional,"Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Efficacy Study|Intervention Model: Factorial Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Prevention",CDJN608B2302,11/30/2004,01/01/2002,01/10/2009,6/23/2010,01/06/2010,Navigator,01/10/2009,"Time to having a cardiovascular or neurologic event, including: death from a cardiovascular event, heart attack, stroke, hospitalization for chest pain or heart failure, or procedure to open a blockage in an arterial blood vessel.|Risk of developing diabetes|Time to having a cardiovascular or neurologic event, including: death from a cardiovascular event, heart attack, stroke, or hospitalization for heart failure.",http://ClinicalTrials.gov/show/NCT00097786,"United States, &nbsp; Argentina, &nbsp; Australia, &nbsp; Austria, &nbsp; Belgium, &nbsp; Brazil, &nbsp; Canada, &nbsp; Chile, &nbsp; China, &nbsp; Colombia, &nbsp; Czech Republic, &nbsp; Denmark, &nbsp; Ecuador, &nbsp; Finland, &nbsp; France, &nbsp; Germany, &nbsp; Greece, &nbsp; Guatemala, &nbsp; Hong Kong, &nbsp; Hungary, &nbsp; Italy, &nbsp; Malaysia, &nbsp; Mexico, &nbsp; Netherlands, &nbsp; Norway, &nbsp; Peru, &nbsp; Poland, &nbsp; Russian Federation, &nbsp; Singapore, &nbsp; Slovakia, &nbsp; South Africa, &nbsp; Spain, &nbsp; Sweden, &nbsp; Switzerland, &nbsp; Taiwan, &nbsp; Turkey, &nbsp; United Kingdom, &nbsp; Uruguay",1,1,2,0
NCT00100815,"Gemcitabine, Capecitabine, and Bevacizumab in Treating Patients With Metastatic or Unresectable Pancreatic Cancer",Completed,No Results Available,Pancreatic Cancer,Biological: bevacizumab|Drug: capecitabine|Drug: gemcitabine hydrochloride,Roswell Park Cancer Institute,Both,Adult|Senior,Phase II,35,Other,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000409556|RPCI-I-19903|GENENTECH-RPCI-I-19903,01/06/2005,01/08/2004,NA,11/17/2009,01/11/2009,,01/02/2009,Progression-free survival|Toxicity|Quality of life|Clinical response,http://ClinicalTrials.gov/show/NCT00100815,United States,1,1,3,0
NCT00100945,Gefitinib in Treating Patients With Locally Advanced Esophageal Cancer,Completed,No Results Available,Esophageal Cancer,Drug: gefitinib|Procedure: adjuvant therapy,North Central Cancer Treatment Group|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,72,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000407534|NCCTG-N0342,01/07/2005,01/07/2005,NA,10/13/2009,01/10/2009,,01/10/2009,1-year overall survival rate|Survival time|Disease-free survival|Time to disease recurrence|Time to treatment failure|Quality of life|Toxicity,http://ClinicalTrials.gov/show/NCT00100945,United States,1,1,2,1
NCT00101036,Lapatinib in Treating Patients With Locally Advanced or Metastatic Biliary Tract or Liver Cancer That Cannot Be Removed By Surgery,Completed,No Results Available,Extrahepatic Bile Duct Cancer|Gallbladder Cancer|Liver Cancer,Drug: lapatinib ditosylate,California Cancer Consortium|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000406604|CCC-PHII-53|NCI-6674|PCI-04091,01/07/2005,01/01/2005,01/01/2009,10/11/2010,01/10/2010,,01/01/2009,Anti-tumor activity by response rate based on tumor measurements every 8 weeks|Overall survival every 4 weeks during study treatment|Time to progression every 4 weeks during study treatment|Disease control rate every 4 weeks during study treatment,http://ClinicalTrials.gov/show/NCT00101036,United States,1,1,1,0
NCT00101127,"Docetaxel, Gemcitabine, and Filgrastim (G-CSF) or Pegfilgrastim in Treating Patients With Advanced, Persistent, or Recurrent Uterine Leiomyosarcoma",Completed,No Results Available,Sarcoma,Biological: filgrastim|Biological: pegfilgrastim|Drug: docetaxel|Drug: gemcitabine hydrochloride,Gynecologic Oncology Group|National Cancer Institute (NCI),Female,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000405892|GOG-0087L,01/07/2005,01/12/2003,NA,2/13/2009,01/06/2006,,01/01/2009,Antitumor activity|Toxicity,http://ClinicalTrials.gov/show/NCT00101127,United States,1,1,4,0
NCT00102596,Clinical Trial Characterizing the Bioavailability of 1-Octanol in Adults With Ethanol-responsive Essential Tremor,Completed,No Results Available,Essential Tremor,Drug: 1-Octanol,National Institute of Neurological Disorders and Stroke (NINDS),Both,Adult|Senior,Phase II,50,NIH,Interventional,Endpoint Classification: Pharmacokinetics/Dynamics Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,050092|05-N-0092,1/30/2005,01/01/2005,01/09/2009,5/29/2010,01/09/2009,,01/09/2009,1-octanol concentration-time data to determine pharmacokinetic. Assess bioequivalence between the two formulations based on the ratio of the peak concentrations and the ratio of the areas under the concentration-time curves for the 2 formulation...|Tremor severity based on accelerometric data will be assessed along with safety based on intoxication ratings and EKG monitoring.,http://ClinicalTrials.gov/show/NCT00102596,United States,1,0,1,NA
NCT00103727,Study Of Talnetant Versus Placebo And Risperidone In Schizophrenia,Completed,No Results Available,Schizophrenia,Drug: Talnetant,GlaxoSmithKline,Both,Adult,Phase II,NA,Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment",SB-223412/093,2/14/2005,01/12/2004,01/01/2009,01/06/2011,01/01/2011,,01/01/2009,"The primary outcome measure is change in the Positive and Negative Syndrome Scale (PANSS) at Week 6 compared to baseline values.|The secondary measures assess both efficacy (cognition, depression) as well as a variety of safety/tolerability endpoints (adverse events, motor function, laboratory measures).",http://ClinicalTrials.gov/show/NCT00103727,United States,1,0,1,NA
NCT00105027,The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study,Completed,Has Results,"Macular Edema, Cystoid|Retinal Vein Occlusion",Other: Standard Care|Drug: intravitreal triamcinolone injection|Drug: intravitreal triamcinolone injection,Allergan|National Eye Institute (NEI),Both,Adult|Senior,Phase III,682,Industry|NIH,Interventional,Allocation: Randomized|Control: Dose Comparison|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,NEI-99|5U10EY014351-05|5U10EY014404|5U10EY014352,03/03/2005,01/10/2004,01/02/2009,12/16/2010,01/12/2010,SCORE,01/02/2009,The Number of Study Participants Experiencing an Improvement by 15 or More Letters From Baseline in Best-corrected ETDRS Visual Acuity Score at the 12-month Visit|Changes From Baseline in Best-corrected ETDRS Visual Acuity Score|Changes in Retinal Thickness as Assessed by Stereoscopic Color Fundus Photography and Optical Coherence Tomography|Adverse Ocular Outcomes,http://ClinicalTrials.gov/show/NCT00105027,United States,1,1,3,0
NCT00107783,Long-Term Study of Nitisinone to Treat Alkaptonuria,Completed,Has Results,Alkaptonuria,Drug: Nitisinone (NTBC),National Human Genome Research Institute (NHGRI),Both,Adult|Senior,Phase II,40,NIH,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Outcomes Assessor)|Primary Purpose: Treatment,050076|05-HG-0076,04/07/2005,01/01/2005,01/04/2009,12/20/2010,01/12/2010,,01/04/2009,Change in Total ROM Worse Hip.|Change in Schober's Test|Change in Functional Reach Assessment|Change in Timed Get up and go|Change in 6 Minute Walk Test (6MWT),http://ClinicalTrials.gov/show/NCT00107783,United States,1,1,1,1
NCT00108550,Chronic Low Back Pain Research Project,Completed,No Results Available,Chronic Low Back Pain,Drug: gabapentin|Drug: Inert placebo,Department of Veterans Affairs,Both,Adult|Senior,Phase II,115,U.S. Fed,Interventional,"Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CLNA-013-04S,4/15/2005,01/10/2004,01/09/2009,12/08/2010,01/12/2010,,01/07/2009,Mean pain intensity (Descriptor Differential Scale) at exit|Oswestry Disability Index|SF-36|Quality of Well-Being,http://ClinicalTrials.gov/show/NCT00108550,United States,1,1,2,1
NCT00109473,Trial of Growth Hormone Therapy in Pediatric Crohn's Disease,Completed,No Results Available,Crohn's Disease,"Drug: Somatropin, E-coli Derived","Children's Hospital Medical Center, Cincinnati|Genentech",Both,Child|Adult|Senior,Phase II,22,Other|Industry,Interventional,Allocation: Randomized|Control: Active Control|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,CCHMC IRB #: 04-12-06|FDA IND#: 71344,4/28/2005,01/04/2005,01/08/2009,08/10/2010,01/08/2010,,01/07/2009,The primary endpoint will be the CD histologic index of severity (CDHIS)|Serum IGF-1|Colon crypt epithelial cell (CEC) proliferation labeling index|IMPACT III|Pediatric Crohn's disease Activity Index|Total corticosteroid use|Intra-abdominal fat|Height velocity|Fecal Calprotectin,http://ClinicalTrials.gov/show/NCT00109473,United States,1,1,1,0
