"","Rank","NCT.ID","Title","Recruitment","Study.Results","Conditions","Interventions","Sponsors","Gender","Age.Groups","Phases","Enrollment","Funded.Bys","Study.Types","Study.Designs","Other.IDs","First.Received","Start.Date","Completion.Date","Last.Updated","Last.Verified","Acronym","Primary.Completion.Date","Outcome.Measures","URL","study.location"
"82915",82915,"NCT00216099","Pemetrexed as Second-Line Therapy in Treating Patients With Hormone Refractory Prostate Cancer","Completed","No Results Available","Prostate Cancer","Drug: Pemetrexed|Dietary Supplement: Folic Acid|Dietary Supplement: Vitamin B12","Hoosier Oncology Group|Eli Lilly and Company|Walther Cancer Institute","Male","Adult|Senior","Phase II",43,"Other|Industry","Interventional","Allocation: Non-Randomized|Control: Uncontrolled|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Prevention","HOG GU03-67","September 12, 2005","01/02/2005",2009-03-01,"April 29, 2009","01/04/2009","",2009-03-01,"?? To determine the rates of best overall PSA response (??­ 50% decline in PSA) at any time during the study with single agent pemetrexed in subjects with HRPC whose disease has progressed following one prior taxane based chemotherapy regimen for HRPC??|To determine time to disease progression, overall survival and duration of response (PSA criteria)|To determine OBJECTIVE response per RECIST|To determine the rate of clinical benefit (decreased pain, improved performance status)|To determine the safety and tolerability of pemetrexed in subjects with HRPC whose disease has progressed following one prior taxane-based chemotherapy regimen for HRPC|To explore whether polymorphisms of enzymes involved in pemetrexed metabolism impact its toxicity or efficacy profile","http://ClinicalTrials.gov/show/NCT00216099","United States"
"82916",82916,"NCT00221299","Risedronate and Parathyroid Hormone to Reverse Osteoporosis Caused by Chronic Steroid Use","Completed","No Results Available","Glucocorticoid Induced Osteoporosis","Drug: Risedronate|Drug: Parathyroid Hormone","University of California, Davis|University of California, San Francisco","Both","Adult|Senior","Phase IV",60,"Other","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Efficacy Study|Intervention Model: Crossover Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment","200513216|RA-015865","September 14, 2005","01/09/2005",2009-05-01,"May 22, 2009","01/05/2009","",2009-03-01,"Bone Mineral Density (BMD): Examine the pattern and effect of BMD changes at hip and spine measured by DXA every 6 months.|Bone Turnover Markers : Evaluate the levels of bone biochemical markers serum total calcium and urinary excretion of calcium.|Incident Vertebral and non-Vertebral Fractures: Evaluate using Instant Vertebral Assessment (IVA) obtained at baseline and annually thereafter.","http://ClinicalTrials.gov/show/NCT00221299","United States"
"83018",83018,"NCT00388999","Intravenous rhMBL in Patients With Multiple Myeloma Receiving Chemotherapy Followed by Stem Cell Transplant","Completed","No Results Available","Multiple Myeloma","Drug: Intravenous Recombinant Human Mannose-Binding Lectin (rhMBL)|Drug: Intravenous Recombinant Human Mannose-Binding Lectin (rhMBL)|Drug: Intravenous Recombinant Human Mannose-Binding Lectin (rhMBL)","Enzon Pharmaceuticals, Inc.","Both","Adult|Senior","Phase I|Phase II",50,"Industry","Interventional","Allocation: Randomized|Control: Dose Comparison|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","EZN-2232-01","October 13, 2006","01/09/2006",2009-05-01,"October 19, 2009","01/10/2009","",2009-02-01,"Safety and tolerability of rhMBL|Pharmacokinetic (PK) of rhMBL|Pharmacodynamics (PD) of rhMBL|Immunogenicity of rhMBL, incidence of infectious complications","http://ClinicalTrials.gov/show/NCT00388999","United States"
"83075",83075,"NCT00452699","A 12-Month Study Comparing Fluticasone Propionate/Salmeterol (ADVAIR) DISKUS Combination Product 250/50mcg BID To Fluticasone Propionate (FLOVENT) DISKUS 250 Mcg BID In Symptomatic Subjects With Asthma","Completed","Has Results","Asthma","Drug: Fluticasone Propionate/salmeterol xinofoate 250/50 mcg BID|Drug: Fluticasone propionate 250 mcg BID","GlaxoSmithKline","Both","Child|Adult|Senior","Phase IV",621,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ADA109055|Fluticasone Propionate/salmete","March 26, 2007","01/05/2007",2009-05-01,"March 4, 2010","01/03/2010","",2009-05-01,"Mean Change From Baseline in Pre-dose FEV1 Over Weeks 1-52|Mean Change From Baseline in AM PEF Over Weeks 1-52|Mean Change From Baseline in the Percentage of Symptom-free Days Over Weeks 1-52|Rate of Asthma Attacks Per Participant Per Year","http://ClinicalTrials.gov/show/NCT00452699","United States, &nbsp; Argentina, &nbsp; Brazil, &nbsp; Canada, &nbsp; Philippines"
"83170",83170,"NCT00615199","A Study to Investigate the Safety and Efficacy of CP-690,550 in Patients With Moderate to Severe Crohn's Disease","Completed","No Results Available","Crohn's Disease","Drug: CP-690,550|Drug: CP-690,550|Drug: CP-690,550","Pfizer","Both","Adult|Senior","Phase II",150,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","A3921043","January 14, 2008","01/12/2007",2009-10-01,"November 23, 2009","01/11/2009","",2009-10-01,"Clinical response defined by a decrease in the Crohn's disease activity index (CDAI) score of at least 70 points from baseline|Percentage of subjects achieving clinical remission defined as a reduction of CDAI score below 150|Clinical response defined by a decrease in the CDAI score of at least 100 points from baseline|Clinical response defined by a decrease in the CDAI score of at least 70 points from baseline","http://ClinicalTrials.gov/show/NCT00615199","United States, &nbsp; Belgium, &nbsp; Czech Republic, &nbsp; France, &nbsp; Hungary, &nbsp; Italy, &nbsp; Netherlands, &nbsp; Poland, &nbsp; Slovakia, &nbsp; South Africa, &nbsp; Spain, &nbsp; United Kingdom"
"83213",83213,"NCT00689299","Phase 2 Study in Adults Sensitized to Cat","Completed","No Results Available","Allergy to Cat Hair","Biological: SLIT","Antigen Laboratories, Inc.","Both","Adult","Phase II",167,"Industry","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ALI002-08","May 30, 2008","01/10/2008",2009-06-01,"October 14, 2009","01/10/2009","",2009-05-01,"Average of Total Symptom Scores","http://ClinicalTrials.gov/show/NCT00689299","United States"
"83218",83218,"NCT00697099","Evaluation of AVE5026 as Compared to Enoxaparin for the Prevention of Thromboembolism in Patients Undergoing Total Hip Replacement Surgery","Completed","No Results Available","Venous Thromboembolism","Drug: Semuloparin sodium (AVE5026)|Drug: Enoxaparin|Drug: Placebo","Sanofi-Aventis","Both","Adult|Senior","Phase III",2326,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","EFC10342|2007-007944-80","June 12, 2008","01/06/2008",2009-06-01,"December 20, 2010","01/12/2010","SAVE-HIP1",2009-05-01,"Occurence of the composite endpoint of any VTE confirmed by a blinded Central Independent Adjudication Committee (CIAC) and deaths from any cause|Occurence of the composite endpoint of any proximal Deep Vein Thrombosis (DVT), symptomatic distal DVT, nonfatal Pulmonary Embolism (PE), and all cause deaths|Number of patients with major bleedings and clinically relevant non-major bleedings as confirmed by the CIAC","http://ClinicalTrials.gov/show/NCT00697099","United States, &nbsp; Argentina, &nbsp; Australia, &nbsp; Belarus, &nbsp; Canada, &nbsp; Chile, &nbsp; Colombia, &nbsp; Czech Republic, &nbsp; Denmark, &nbsp; Estonia, &nbsp; Finland, &nbsp; Germany, &nbsp; Greece, &nbsp; India, &nbsp; Italy, &nbsp; Mexico, &nbsp; Norway, &nbsp; Peru, &nbsp; Philippines, &nbsp; Poland, &nbsp; Romania, &nbsp; Russian Federation, &nbsp; Slovakia, &nbsp; South Africa, &nbsp; Spain, &nbsp; Sweden, &nbsp; Taiwan, &nbsp; Thailand, &nbsp; Turkey, &nbsp; Ukraine"
"83231",83231,"NCT00720499","Efficacy and Safety of 4 Weeks of Treatment With Orally Inhaled BI1744/Tiotropium Bromide in Patients With Chronic Obstructive Pulmonary Disease (COPD)","Completed","No Results Available","Pulmonary Disease, Chronic Obstructive","Drug: BI1744/Tiotropium bromide","Boehringer Ingelheim Pharmaceuticals","Both","Adult|Senior","Phase II",141,"Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Treatment","1237.9|EudtaCT No: 2008-000562-23","July 21, 2008","01/07/2008",NA,"March 5, 2009","01/03/2009","",2009-02-01,"The primary efficacy variable will be forced expiratory volume in one second (FEV1). The primary endpoint is the trough FEV1 response [L] after four weeks of treatment.|FEV1 and FVC responses at different timepoints Weekly mean predose morning and evening PEF Weekly mean number of occations of rescue therapy used per day Patient's Global Rating scale Adverse events Laboratory and Vital signs","http://ClinicalTrials.gov/show/NCT00720499","United States, &nbsp; Belgium, &nbsp; Canada, &nbsp; Germany"
"83289",83289,"NCT00811499","Treatment With ARRY-371797 in Patients With Active Ankylosing Spondylitis","Completed","No Results Available","Ankylosing Spondylitis","Drug: ARRY-371797|Drug: Placebo","Array BioPharma","Both","Adult|Senior","Phase II",25,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ARRAY-797-201","December 17, 2008","01/12/2008",2009-09-01,"December 8, 2009","01/12/2009","",2009-09-01,"Efficacy of ARRY-371797 as measured by ASAS 20 (Assessments in Ankylosing Spondylitis 20% Working Group response criterion)|Safety of ARRY-371797 as measured by adverse events, findings on physical examinations, laboratory abnormalities, change from baseline in vital sign measurements, and change from baseline in 12-lead ECG parameters|Efficacy as measured by ASAS 20, ASAS 40, ASAS 5/6, BASDAI, BASFI, BASMI, EASMI, SPARCC Enthesitis Index, Nocturnal Back Pain, Total Back Pain, Patient's Global Assessment of Disease Activity, SF-36 Health Questionnaire V2 Acute, and CRP|Pharmacokinetics as measured by plasma concentrations of ARRY-371797 and a metabolite|Pharmacodynamics as measured by circulating levels of exploratory biomarkers of disease activity, and sacroiliac (SI) and spinal SPARCC MRI scores","http://ClinicalTrials.gov/show/NCT00811499","United States, &nbsp; Canada"
"83304",83304,"NCT00827099","UCB Transplant, Fludarabine, Melphalan, and ATG in Treating Patients With Hematologic Cancer","Completed","No Results Available","Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes","Biological: anti-thymocyte globulin|Drug: fludarabine phosphate|Drug: melphalan|Drug: mycophenolate mofetil|Drug: tacrolimus|Procedure: nonmyeloablative allogeneic hematopoietic stem cell transplantation|Procedure: umbilical cord blood transplantation","Northside Hospital, Inc.","Both","Adult","Phase II",5,"Other","Interventional","Endpoint Classification: Safety Study|Masking: Open Label|Primary Purpose: Treatment","CDR0000632453|BMTGG-NSH-801","January 21, 2009","01/06/2006",2009-11-01,"March 10, 2010","01/03/2010","",2009-11-01,"Incidence of transplant-related mortality|Incidence of engraftment|Degree of donor-host chimerism|Incidence of acute and chronic graft-vs-host disease|Incidence of relapse|Survival","http://ClinicalTrials.gov/show/NCT00827099","United States"
"83306",83306,"NCT00845299","Study of the Effects of Artificial Tears on the Response to the Latanoprost Punctal Plug Delivery System in Subjects With Ocular Hypertension or Open-Angle Glaucoma","Completed","No Results Available","Glaucoma|Ocular Hypertension","Drug: Latanoprost punctal plug|Drug: artificial tears preserved with Benzalkonium Chloride","QLT Plug Delivery, Inc.","Both","Adult|Senior","Phase II",40,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","PPL GLAU 04","February 16, 2009","01/01/2009",2009-12-01,"February 2, 2010","01/02/2010","",2009-12-01,"IOP change from baseline","http://ClinicalTrials.gov/show/NCT00845299","United States"
"83309",83309,"NCT00847899","Evaluation of Soluble Epoxide Hydrolase (s-EH) Inhibitor in Patients With Mild to Moderate Hypertension and Impaired Glucose Tolerance","Completed","No Results Available","Hypertension|Impaired Glucose Tolerance","Drug: AR9281|Drug: AR9281|Drug: Placebo|Drug: Placebo","Arete Therapeutics","Both","Adult|Senior","Phase II",150,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment","AR9281-CLN-003","February 17, 2009","01/01/2009",2009-11-01,"November 18, 2009","01/11/2009","",2009-10-01,"Systolic and Diastolic blood pressure|Glucose dynamics and insulin sensitivity","http://ClinicalTrials.gov/show/NCT00847899","United States"
"83330",83330,"NCT00877799","Study to Evaluate Analgesic Effect of Intravenous Administration of Kappa Agonist CR845 After Hysterectomy Surgery","Completed","No Results Available","Acute Pain|Post-operative Pain","Drug: CR845","Cara Therapeutics, Inc.","Female","Adult","Phase II",114,"Industry","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment","CR845-CLIN2001","April 6, 2009","01/03/2009",2010-01-01,"April 16, 2010","01/04/2010","",2009-12-01,"Analgesic efficacy measured by patient's self reported pain level at rest after surgery (after single dose administration).|Time to onset of analgesic efficacy|Time specific and total level of pain relief|Duration of analgesia|Time specific pain intensity difference from baseline and total level of pain relief|Time and requirement for rescue medication including survival curve of patients requesting rescue medication|Patient satisfaction with study medication with the patient Global evaluation scale|Vital signs, clinical laboratory parameters, ECG|Incidence of adverse events (AEs)|Sedation as measured by Ramsay sedation scale|Anti-inflammatory effects (measured by quantification of serum TNF alpha and serum IL-6","http://ClinicalTrials.gov/show/NCT00877799","United States"
"83542",83542,"NCT01210599","A Pilot Trial of IV Pamidronate for Low Back Pain","Completed","No Results Available","Chronic Low Back Pain","Drug: Pamidronate","Pappagallo, Marco, M.D.","Both","Adult|Senior","Phase I|Phase II",44,"Other","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","06-0782","September 27, 2010","01/04/2004",2009-10-01,"October 12, 2010","01/09/2010","",2009-10-01,"","http://ClinicalTrials.gov/show/NCT01210599","United States"
